location,company,title,salary,city,company_id,index
 Los Angeles,ELECTRO RENT CORPORATION,Collections Analyst,"$52,000 - $60,000 a year", Los Angeles,581,708
 Los Angeles,"U.S. Auto Parts Network, Inc",Marketing Analyst,Unknown, Los Angeles,582,709
 Los Angeles,Catasys,HR Analyst / Project Manager,Unknown, Los Angeles,583,710
 Los Angeles,Pasadena City College,Programmer Analyst,Unknown, Los Angeles,584,711
 Los Angeles,"Satori Technology, LLC",Senior Developer - Azure Data Warehousing / DAX / Integrations,"$85,000 - $150,000 a year", Los Angeles,585,712
 Los Angeles,Masimo,Senior Tax Analyst,Unknown, Los Angeles,586,713
 Los Angeles,Mr. Bult's Inc.,Data Analyst/Billing Coordinator,Unknown, Los Angeles,591,718
 Los Angeles,Medical Home Network,Senior Healthcare Data Analyst,Unknown, Los Angeles,592,719
 Los Angeles,Headquarter office for global distribution giant,"Data Entry Excel Specialist $37,000 Naperville Area",$17 - $19 an hour, Los Angeles,609,740
 Los Angeles,ULINE,Sales Analyst,Unknown, Los Angeles,620,755
 Los Angeles,"CorTech, LLC",Systems Analyst - Master Data Analyst,$39.37 an hour, Los Angeles,621,756
 Los Angeles,ULINE,Junior Report Analyst,Unknown, Los Angeles,620,763
 Los Angeles,Ulta Beauty,Ecommerce Transportation Analyst,Unknown, Los Angeles,628,764
 Los Angeles,"Lionshead Specialty Tire & Wheel, LLC",Purchasing Analyst,Unknown, Los Angeles,629,765
 Los Angeles,CoinFlip,Data Entry,"$30,000 - $35,000 a year", Los Angeles,630,766
 Los Angeles,"Spruce Services, Inc",Data Engineer,"$95,000 - $120,000 a year", Los Angeles,669,807
 Los Angeles,OneAuth,Senior Data Architect,$80 - $90 an hour, Los Angeles,670,808
 Los Angeles,Personal Household,Attorney - Research & Analyst Position,"$70,000 - $150,000 a year", Los Angeles,671,809
"Austin, TX 78754",GasPedal,Leading Data-Driven Change -- Data Industry Analyst,Unknown,Austin,672,810
