"Houston, TX",Aspen Technology,SR Data Scientist,3.0
"Houston, TX 77030 (Medical area)","OraSure Technologies, Inc.",Data Scientist (Research & Development),3.3
,"Perceptronics Solutions, Inc",AI/Machine Learning Research Scientist,,
"Miami, FL",Beatdapp,Data Scientist (Top 20 Music Company Globally on Crunchbase),,
"Coral Gables, FL",Quirch Foods,Data Scientist,,3.2
"North Miami, FL 33161",Excel Impact,Data Scientist,,
"Miami, FL",Amerant Bank,Business Data Scientist II,,4.2
"Boca Raton, FL",Guardian Eagle,Data Scientist,,
"Fort Lauderdale, FL 33316 (Poinciana Park area)",Chewy,Data Scientist,,2.7
"Boca Raton, FL 33431",ADT Security Services,Marketing Media Data Scientist,,3.4
"West Palm Beach, FL 33411",Naztec International Group LLC,AI/ML - Machine Learning R&D Scientist,,
"Miami, FL",Mixed In Key,Freelance Data Scientist for an Award-Winning Music Software Company,,
"Miami, FL","Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,,3.6
,ConMet,Data Scientist (Automotive / IoT Connected Products),,
,"Perceptronics Solutions, Inc",AI/Machine Learning Research Scientist,,
,i-Pharm Consulting,"Sr. Statistical Programmer - (100% REMOTE) - Excellent Pay, Benefits, PTO!","$115,000 - $140,000 a year",
"Salem, OR",Pearson,Data Scientist,,3.8
"Portland, OR",Schrödinger,Data Scientist,,
"Beaverton, OR 97008 (Greenway area)","DAT Solutions, LLC",Data Scientist I,,
"Portland, OR",Mars Petcare,Data Scientist,,3.9
"Corvallis, OR 97330",HP,3D Engineering / Data Science Developer Intern,,4.0
"Portland, OR",Natera,Data Scientist - Deep Learning,,2.8
"Vancouver, WA 98661 (Riverview area)",ConMet,Data Scientist (Automotive / IoT Connected Products),,
"Washougal, WA 98671",Printforia,Chief Data Officer (CDO),,
"Portland, OR",Kinsa Inc.,Senior Data Scientist,,
"Vancouver, WA 98664 (North Garrison Heights area)",PeaceHealth,Clinical Data Scientist - Quality Analytics,,3.5
,SubjectWell,Data Scientist,,
,Alaka`ina Foundation Family of Companies,Data Scientist,,
,"Cytel, Inc (USA)","1812- Principal / Lead Statistical Programmer - Oncology / Immunology (Remote, North America)",,
"Austin, TX",SubjectWell,Data Scientist,,
"Austin, TX 78712 (University of Texas area)",University of Texas at Austin,Remote Sensing Data Scientist,,4.3
"Austin, TX",Pearson,Data Scientist,,3.8
"Austin, TX (Downtown area)",Google,"Data Scientist, Cloud Support Data and Analytics",,4.3
