"Baton Rouge, LA",LSU-Baton Rouge,GUARD,"$1,876 - $3,328 a month",4.1
"Baton Rouge, LA 70810 (Mayfair area)",TRIO EYECARE,Patient Registrar,$15 - $20 an hour,
"Baton Rouge, LA",UNITED PARCEL SERVICE,Warehouse Worker - Package Handler,,3.8
"Baton Rouge, LA",WIS International,Inventory Associate,,2.9
"Baton Rouge, LA",State of Louisiana,DISEASE INTERVENTION SPECIALIST 1-2,"$2,470 - $4,765 a month",3.5
,"Breazeale, Sachse & Wilson, LLP",Construction Litigation Paralegal,,
,Ascension Credit Union,Part-Time Teller,$11 - $14 an hour,3.1
,GINO'S RESTAURANT,Bartender,,3.6
,IBERIA GENERAL HOSPITAL & MEDICAL,Physician Practice Specialist - Physician's Office - Part time,,
"Baton Rouge, LA",State of Louisiana,OPERATIONS SUPPORT SPECIALIST (Administrative Assistant 6),"$3,084 - $6,072 a month",3.5
"Baton Rouge, LA 70808 (Pollard area)","Gunn & York, LLP",Secretary,,
"Gonzales, LA 70737",United States Postal Service,RURAL CARR ASSOC/SRV REG RTE,$18.56 an hour,3.5
"Baton Rouge, LA",SOUTHWEST LOUISIANA AHEC,COVID-19 Congregate Facility Tester,$35 an hour,
"Baton Rouge, LA",State of Louisiana,PROBATION AND PAROLE ASSISTANT DIRECTOR / ADULT,"$5,678 - $10,071 a month",3.5
"Baton Rouge, LA",Amazon.com Services LLC,Yard Marshal,,3.6
"Baton Rouge, LA",State of Louisiana,PROGRAM MONITOR-DHH,"$4,044 - $7,958 a month",3.5
"Baton Rouge, LA 70802 (Downtown East area)",City of Baton Rouge Parish of East Baton Rouge,Deputy Clerk of City Court,"$29,219 - $49,744 a year",
"Baton Rouge, LA 70801",Acadian SMS,Data Entry Specialist,,
"Baton Rouge, LA 70802",State Farm,Administrative Support,,3.8
,Capital Area Transit System (CATS),INFORMATION TECHNOLOGY (IT) SYSTEM ANALYST,,
,Sylvan In-Home,K-12 In-Home Tutoring,$50 - $75 an hour,
,ABC Supply,Warehouse Material Handler (286),,3.6
,United Medical Rehabilitation Hospital,Health Information Coordinator,$15 - $18 an hour,2.7
,Brown Eagle Contractors,Logistics Clerk,$17 - $19 an hour,3.5
,Ascension Credit Union,Part-Time Teller,$11 - $14 an hour,3.1
,Southern Marsh Collection,Accounts Receivable Accountant,"$47,000 - $50,000 a year",3.4
,Master Vac Industrial Services,INDUSTRIAL CLEANING SUPERVISORS/OPERATORS,,3.6
,Master Vac Industrial Services,INDUSTRIAL CLEANING TECHNICIANS,,3.6
"Baton Rouge, LA",State of Louisiana,Assistant Director,"$45,000 - $55,000 a year",3.5
"Zachary, LA 70791",Lane Regional Medical Center,Appointment Clerk - Lane OB/GYN FT,,3.5
"Baton Rouge, LA",State of Louisiana,COMMUNICATIONS OFFICER 2,"$2,158 - $3,871 a month",3.5
"East Baton Rouge Parish, LA",East Baton Rouge Parish School System,School Clerk - Anticipated 2020 School Year,,3.8
"Baton Rouge, LA",State of Louisiana,ADMINISTRATIVE COORDINATOR 1-4,"$1,439 - $2,824 a month",3.5
"Baton Rouge, LA",Hamilton Telecommunications,Call Center Operator - Customer Service,,3.0
"Baton Rouge, LA",Amazon.com Services LLC,"Learning Coordinator,Ops",,3.6
"Baton Rouge, LA",Imperfect Foods,Delivery Driver,$17.25 an hour,2.9
